"","Wall.B","Wall.Q","Rozas.ZA","Rozas.ZZ","Kelly.Z_nS"
"109107 - 113173",0,0,0.000180841411320618,-0.00548175496633014,0.00566259637765076
"109829 - 111884",0,0,0.000305452128215295,-0.0153830354151245,0.0156884875433398
"113340 - 116410",0,0,0.0931629929353081,0.0776657603785796,0.0154972325567285
"114236 - 118021",0,0,0.0127053423792553,0.00914864111172334,0.00355670126753198
"116013 - 118202",0,0,1.24980042620375e-05,1.70464631454422e-06,1.07933579474933e-05
"118504 - 122768",0.0212765957446809,0.0416666666666667,0.0221483864504555,0.0194075429234354,0.00274084352702003
"118603 - 141499",0.0175438596491228,0.0232558139534884,0.0268258360178772,0.0249267986815684,0.00189903733630883
"123216 - 124749",0.05,0.0952380952380952,0.110800509054251,0.08432214524592,0.0264783638083306
"127762 - 130186",0,0,2.35713622861296e-06,-4.55364767121878e-07,2.81250099573483e-06
"129265 - 132824",0,0,0.000231797494070508,-0.000447892374487106,0.000679689868557614
"136578 - 137625",0,0,0.00510640333002769,0.00383331091954685,0.00127309241048085
"138646 - 139034",0.0769230769230769,0.142857142857143,0.0869678757568778,0.0594007216349138,0.0275671541219641
"139700 - 141251",0,0,6.86526848250598e-07,-1.96378486287344e-07,8.82905334537941e-07
"141230 - 143553",0,0,0.114959744004443,0.0904053262089282,0.0245544177955144
"143353 - 143425",NA,NA,NA,NA,NA
"144046 - 148030",0,0,2.90515569658135e-05,-0.000347986399931274,0.000377037956897087
"144841 - 144939",NA,NA,NA,NA,NA
"145836 - 151037",0,0,0.00723656581020569,0.00616751025330255,0.00106905555690314
"148054 - 155532",0,0,0.00394215417654357,0.00221850278236219,0.00172365139418138
"151196 - 154519",0,0,0.000235815113435958,3.57211800021644e-05,0.000200093933433794
"156062 - 158420",0,0,1.21984030824874e-05,-0.00207917890891076,0.00209137731199325
"156172 - 160367",0,0,9.13478910301911e-06,-0.00107219268790863,0.00108132747701165
"159527 - 161502",0,0,2.87231698009869e-06,-5.25769457078634e-07,3.39808643717733e-06
"160614 - 162188",0,0,4.10708945930463e-06,1.0777714513275e-07,3.99931231417188e-06
"161330 - 163926",0,0,2.41811926337817e-06,-1.22559664392049e-06,3.64371590729866e-06
"162259 - 174387",0,0,2.48425535165612e-06,-0.000654339032809505,0.000656823288161161
"167665 - 171905",0,0,3.22705876801197e-06,-0.000527679463625403,0.000530906522393415
"171338 - 172574",0,0,1.15063558589733e-06,2.00964922223595e-07,9.49670663673737e-07
"172574 - 173502",0,0,5.88132071296892e-07,-3.15436941492586e-08,6.19675765446151e-07
"173597 - 177277",0,0,5.65488753051259e-06,-0.00163943329985765,0.00164508818738816
"175047 - 175501",0,0,1.32630900035216e-05,-0.0151495244100849,0.0151627875000884
"175085 - 178257",0,0,6.16318279617485e-06,-0.0015168084496645,0.00152297163246067
"177518 - 182002",0,0,6.41988508924763e-06,-0.000812024913785981,0.000818444798875229
"178821 - 181341",0,0,9.12851184385527e-06,1.60453625134134e-06,7.52397559251393e-06
"182007 - 187692",0,0,0.000716115792404893,0.00042857769255842,0.000287538099846473
"182030 - 184141",0,0,7.54845429913302e-06,-8.87795143872503e-05,9.63279686863834e-05
"184499 - 186309",0,0,0.00259787832663622,0.00176265087587014,0.000835227450766075
"185860 - 188842",0,0,4.98611550869681e-06,-8.30102528828132e-05,8.799636839151e-05
"190105 - 193113",0,0,6.5736355580864e-06,-2.17834466427399e-05,2.83570822008263e-05
"190492 - 195121",0,0,9.8741216361718e-06,-0.00407172912184714,0.00408160324348332
"193786 - 195506",0,0,5.32153412732998e-06,2.05947399416398e-07,5.11558672791358e-06
"196227 - 198859",0,0,0.0153530967504219,0.0131580781915433,0.00219501855887859
"197509 - 198830",0,0,0.0399157552313918,0.0266089516593365,0.0133068035720553
"198957 - 202640",0,0,0.000168339021738172,-0.000831738213625304,0.00100007723536348
"199103 - 201037",0,0,6.49289312921533e-06,-0.000265988474671579,0.000272481367800794
"202330 - 204261",0,0,2.33128836042856e-05,-2.80782735341562e-05,5.13911571384418e-05
"202895 - 204937",0,0,2.26550339489425e-05,-0.000674460940556388,0.000697115974505331
"204215 - 207469",0,0,1.55483983159819e-06,3.85316618757653e-07,1.16952321284054e-06
"204272 - 205928",0,0,5.88017943978948e-07,5.88496136606077e-08,5.29168330318341e-07
"206335 - 210051",0,0,4.69569992966321e-06,-0.000145470749122628,0.000150166449052291
"208165 - 210893",0,0,5.46878772455002e-06,-0.00079077625331176,0.00079624504103631
"211383 - 212908",0,0,4.41444307438202e-06,-0.000208539090903807,0.000212953533978189
"212772 - 220288",0,0,0.00439864702320081,0.00253701238580804,0.00186163463739277
"212829 - 214204",NA,NA,NA,NA,NA
"214215 - 216474",0,0,8.66725748378145e-06,-0.00183529326484225,0.00184396052232603
"216812 - 219272",0,0,0.00771118370200497,0.00709383013609782,0.000617353565907147
"219569 - 222227",0,0,1.68820794992325e-05,-2.10575382404828e-05,3.79396177397152e-05
"219926 - 223878",0,0,1.62402343572959e-05,-0.000121855926221976,0.000138096160579272
"222428 - 225423",0,0,4.43913507008145e-06,-0.000279698601292405,0.000284137736362487
