"","Hudson.Kaplan.RM"
"104000 - 106727",0
"105433 - 107500",0
"106583 - 108202",0
"107622 - 110309",9
"108357 - 111662",9
"109846 - 112484",0
"112158 - 118863",1
"113655 - 116953",0
"114149 - 115933",0
"116198 - 120058",1
"119098 - 124924",3
"123068 - 125848",0
"137006 - 147177",8
"146710 - 149188",0
"172256 - 173440",0
"174829 - 174902",0
"175003 - 177360",0
"177783 - 181051",2
"180345 - 181808",2
"181969 - 194734",5
"195272 - 196988",0
"197685 - 202175",8
"205531 - 209494",0
"209977 - 216599",3
"218611 - 222971",2
"223010 - 224364",0
"224779 - 231733",6
"232342 - 233735",0
"233990 - 237708",0
"238360 - 239499",0
"240911 - 242347",2
"244986 - 260286",15
"259944 - 263782",0
"264062 - 266503",1
"266566 - 268913",0
"268919 - 271537",0
"271572 - 277979",6
"277684 - 281983",9
"282403 - 288297",6
"290361 - 301167",23
"301259 - 302267",2
"302892 - 305696",0
"305485 - 313556",9
"315105 - 315919",1
"315974 - 319564",3
"320299 - 322945",10
"322950 - 325688",6
"328473 - 330639",0
"331524 - 334219",1
"333546 - 345127",7
"346308 - 346727",0
"347345 - 352121",0
"351527 - 353137",0
"353655 - 359878",0
"360382 - 361906",0
"361974 - 364336",1
"363313 - 365044",0
"365916 - 367353",1
"367527 - 368741",1
"369885 - 371270",0
"373039 - 376677",13
"376962 - 383799",6
"384240 - 391362",3
"390866 - 394044",3
"394047 - 394714",0
"396410 - 401290",2
"401320 - 403441",4
"403032 - 405486",0
"405513 - 408243",0
"408485 - 411102",0
"413403 - 416357",5
"417372 - 420824",1
"422011 - 422958",1
"424078 - 427891",0
"427283 - 435517",5
"435640 - 438373",2
"438826 - 440791",1
"440536 - 445079",0
"445327 - 448141",0
"448569 - 450669",NA
"451590 - 456137",2
"456470 - 458157",0
"458379 - 462772",0
"461577 - 464007",0
"464039 - 468171",3
"469218 - 469299",NA
"469858 - 469930",0
"470021 - 473920",8
"474132 - 475694",0
"475944 - 476585",0
"478964 - 481141",2
"480653 - 485264",4
"484937 - 489959",4
"490388 - 494260",1
"498831 - 503922",12
"504413 - 505095",0
"505544 - 509792",1
"510180 - 512923",7
"513083 - 517579",5
"517722 - 517793",NA
"518154 - 518225",0
"518685 - 519101",0
"519261 - 526401",8
"527408 - 535614",6
"536310 - 540069",1
"539768 - 541690",0
"541759 - 543070",1
"543378 - 545746",2
"545623 - 554633",8
"573285 - 573419",NA
"576810 - 584668",6
"603166 - 604456",0
"663115 - 664901",1
"665765 - 668508",4
"668291 - 669784",0
"670824 - 672750",3
"672035 - 679718",9
"681263 - 686296",3
"686017 - 687474",0
"688057 - 689439",0
"689248 - 690639",0
"690721 - 692635",1
"693250 - 696792",5
"697475 - 700443",0
"700633 - 705339",5
"706094 - 709615",1
"708854 - 710099",0
"710117 - 715849",3
"717422 - 723139",3
"722433 - 724446",0
"724910 - 727410",4
"727456 - 728891",0
"729587 - 731615",2
"732052 - 740562",5
"741816 - 743452",1
"743611 - 745637",0
"747897 - 750065",4
"750307 - 753786",0
"755176 - 777060",21
"776801 - 779987",2
"780243 - 783375",2
"784194 - 786430",4
"786700 - 790000",6
"790709 - 793086",3
"793749 - 810923",16
"810171 - 815760",6
"816141 - 818999",1
"819175 - 826740",5
"829728 - 830676",1
"830766 - 832555",0
"833620 - 840678",12
"840757 - 843217",16
"843562 - 845169",3
"846888 - 849541",16
"849793 - 852242",7
"852453 - 854447",1
"854488 - 857207",13
"854493 - 855667",6
"857875 - 866312",20
