"Hudson.Kaplan.RM","pos"
NA,5001.5
NA,7501.5
NA,10001.5
NA,12501.5
NA,15001.5
NA,17501.5
NA,20001.5
NA,22501.5
NA,25001.5
NA,27501.5
NA,30001.5
NA,32501.5
NA,35001.5
NA,37501.5
NA,40001.5
NA,42501.5
NA,45001.5
NA,47501.5
NA,50001.5
NA,52501.5
NA,55001.5
NA,57501.5
NA,60001.5
NA,62501.5
NA,65001.5
NA,67501.5
NA,70001.5
NA,72501.5
NA,75001.5
NA,77501.5
NA,80001.5
NA,82501.5
NA,85001.5
NA,87501.5
NA,90001.5
NA,92501.5
NA,95001.5
NA,97501.5
NA,100001.5
0,102501.5
10,105001.5
10,107501.5
10,110001.5
10,112501.5
3,115001.5
5,117501.5
4,120001.5
4,122501.5
7,125001.5
8,127501.5
10,130001.5
12,132501.5
8,135001.5
9,137501.5
7,140001.5
8,142501.5
7,145001.5
8,147501.5
9,150001.5
7,152501.5
10,155001.5
6,157501.5
5,160001.5
4,162501.5
3,165001.5
3,167501.5
4,170001.5
3,172501.5
5,175001.5
5,177501.5
7,180001.5
7,182501.5
6,185001.5
3,187501.5
3,190001.5
2,192501.5
6,195001.5
10,197501.5
11,200001.5
9,202501.5
5,205001.5
0,207501.5
2,210001.5
4,212501.5
5,215001.5
7,217501.5
6,220001.5
8,222501.5
8,225001.5
7,227501.5
7,230001.5
3,232501.5
5,235001.5
6,237501.5
7,240001.5
10,242501.5
9,245001.5
9,247501.5
9,250001.5
11,252501.5
11,255001.5
8,257501.5
8,260001.5
4,262501.5
3,265001.5
4,267501.5
4,270001.5
6,272501.5
16,275001.5
16,277501.5
18,280001.5
18,282501.5
9,285001.5
16,287501.5
15,290001.5
17,292501.5
22,295001.5
18,297501.5
17,300001.5
13,302501.5
8,305001.5
10,307501.5
11,310001.5
14,312501.5
16,315001.5
18,317501.5
23,320001.5
24,322501.5
20,325001.5
13,327501.5
6,330001.5
3,332501.5
5,335001.5
5,337501.5
6,340001.5
8,342501.5
6,345001.5
5,347501.5
6,350001.5
3,352501.5
2,355001.5
3,357501.5
3,360001.5
7,362501.5
9,365001.5
11,367501.5
20,370001.5
22,372501.5
25,375001.5
22,377501.5
11,380001.5
8,382501.5
5,385001.5
5,387501.5
6,390001.5
8,392501.5
7,395001.5
6,397501.5
7,400001.5
7,402501.5
5,405001.5
5,407501.5
4,410001.5
9,412501.5
10,415001.5
10,417501.5
8,420001.5
2,422501.5
3,425001.5
4,427501.5
5,430001.5
6,432501.5
6,435001.5
6,437501.5
4,440001.5
4,442501.5
1,445001.5
3,447501.5
4,450001.5
2,452501.5
2,455001.5
2,457501.5
1,460001.5
2,462501.5
4,465001.5
12,467501.5
13,470001.5
11,472501.5
10,475001.5
4,477501.5
6,480001.5
8,482501.5
9,485001.5
8,487501.5
7,490001.5
5,492501.5
6,495001.5
10,497501.5
12,500001.5
14,502501.5
9,505001.5
11,507501.5
11,510001.5
12,512501.5
19,515001.5
14,517501.5
14,520001.5
12,522501.5
6,525001.5
8,527501.5
7,530001.5
6,532501.5
5,535001.5
2,537501.5
5,540001.5
5,542501.5
6,545001.5
8,547501.5
8,550001.5
11,552501.5
13,555001.5
8,557501.5
7,560001.5
6,562501.5
3,565001.5
3,567501.5
2,570001.5
3,572501.5
1,575001.5
2,577501.5
6,580001.5
6,582501.5
6,585001.5
6,587501.5
3,590001.5
4,592501.5
3,595001.5
3,597501.5
4,600001.5
6,602501.5
6,605001.5
6,607501.5
6,610001.5
6,612501.5
9,615001.5
8,617501.5
7,620001.5
7,622501.5
8,625001.5
9,627501.5
6,630001.5
6,632501.5
6,635001.5
7,637501.5
7,640001.5
7,642501.5
5,645001.5
2,647501.5
3,650001.5
4,652501.5
5,655001.5
4,657501.5
4,660001.5
6,662501.5
8,665001.5
9,667501.5
11,670001.5
11,672501.5
10,675001.5
9,677501.5
12,680001.5
9,682501.5
7,685001.5
6,687501.5
10,690001.5
11,692501.5
13,695001.5
13,697501.5
10,700001.5
7,702501.5
7,705001.5
5,707501.5
3,710001.5
4,712501.5
4,715001.5
7,717501.5
6,720001.5
9,722501.5
8,725001.5
7,727501.5
6,730001.5
6,732501.5
7,735001.5
7,737501.5
8,740001.5
6,742501.5
8,745001.5
7,747501.5
5,750001.5
9,752501.5
6,755001.5
10,757501.5
10,760001.5
10,762501.5
10,765001.5
7,767501.5
9,770001.5
6,772501.5
8,775001.5
7,777501.5
7,780001.5
10,782501.5
12,785001.5
15,787501.5
16,790001.5
11,792501.5
12,795001.5
10,797501.5
9,800001.5
14,802501.5
10,805001.5
8,807501.5
12,810001.5
10,812501.5
9,815001.5
11,817501.5
7,820001.5
8,822501.5
12,825001.5
12,827501.5
13,830001.5
14,832501.5
12,835001.5
26,837501.5
31,840001.5
51,842501.5
59,845001.5
57,847501.5
50,850001.5
41,852501.5
41,855001.5
37,857501.5
35,860001.5
22,862501.5
7,865001.5
NA,867501.5
NA,870001.5
NA,872501.5
NA,875001.5
NA,877501.5
NA,880001.5
NA,882501.5
NA,885001.5
NA,887501.5
NA,890001.5
NA,892501.5
NA,895001.5
NA,897501.5
NA,900001.5
NA,902501.5
NA,905001.5
NA,907501.5
NA,910001.5
NA,912501.5
NA,915001.5
NA,917501.5
NA,920001.5
NA,922501.5
NA,925001.5
NA,927501.5
NA,930001.5
NA,932501.5
NA,935001.5
NA,937501.5
NA,940001.5
NA,942501.5
NA,945001.5
NA,947501.5
NA,950001.5
NA,952501.5
NA,955001.5
NA,957501.5
NA,960001.5
NA,962501.5
NA,965001.5
NA,967501.5
NA,970001.5
NA,972501.5
NA,975001.5
NA,977501.5
NA,980001.5
NA,982501.5
NA,985001.5
NA,987501.5
NA,990001.5
NA,992501.5
NA,995001.5
