"TajD.DRC"	"TajD.Gambia"	"TajD.Kenya"	"TajD.Myanmar"	"position"
NA	NA	NA	NA	5001.5
NA	NA	NA	NA	7501.5
NA	NA	NA	NA	10001.5
NA	NA	NA	NA	12501.5
NA	NA	NA	NA	15001.5
NA	NA	NA	NA	17501.5
NA	NA	NA	NA	20001.5
NA	NA	NA	NA	22501.5
NA	NA	NA	NA	25001.5
NA	NA	NA	NA	27501.5
NA	NA	NA	NA	30001.5
NA	NA	NA	NA	32501.5
NA	NA	NA	NA	35001.5
NA	NA	NA	NA	37501.5
NA	NA	NA	NA	40001.5
NA	NA	NA	NA	42501.5
NA	NA	NA	NA	45001.5
NA	NA	NA	NA	47501.5
NA	NA	NA	NA	50001.5
NA	NA	NA	NA	52501.5
NA	NA	NA	NA	55001.5
NA	NA	NA	NA	57501.5
NA	NA	NA	NA	60001.5
NA	NA	NA	NA	62501.5
NA	NA	NA	NA	65001.5
NA	NA	NA	NA	67501.5
NA	NA	NA	NA	70001.5
NA	NA	NA	NA	72501.5
NA	NA	NA	NA	75001.5
NA	NA	NA	NA	77501.5
NA	NA	NA	NA	80001.5
NA	NA	NA	NA	82501.5
NA	NA	NA	NA	85001.5
NA	NA	NA	NA	87501.5
NA	NA	NA	NA	90001.5
NA	NA	NA	NA	92501.5
NA	NA	NA	NA	95001.5
NA	NA	NA	NA	97501.5
NA	NA	NA	NA	100001.5
NA	NA	NA	NA	102501.5
NA	NA	NA	NA	105001.5
-1.64286591882927	-1.05216952811197	-1.16239055059924	0.466731037313582	107501.5
-2.01182566243326	-1.55794405900639	-1.49094088139003	-0.769444876545671	110001.5
-2.20199922644329	-1.93520141932709	-1.89303899900925	-0.752944640511512	112501.5
-2.14061195823259	-1.84240901337162	-1.73414979814457	-0.500233700086223	115001.5
-2.20501635792689	-2.03389098616076	-1.88738724043846	-0.396573262886374	117501.5
-2.15035336874793	-1.95769568158952	-1.90712361358478	0.0286160432632317	120001.5
-2.07538959773206	-1.69425397572136	-1.66949525126766	-0.247924741428984	122501.5
-2.26118077690444	-1.94475447112869	-2.02193247058954	-0.238724495025315	125001.5
-2.36132937391196	-1.99386760480523	-2.12941000479549	-0.611220367040108	127501.5
-2.41381779585085	-2.30403173893032	-2.24049652041016	-0.706071833944357	130001.5
-2.4796389762215	-2.43751982537993	-2.39765465419471	-0.442928088692405	132501.5
-2.08736122065286	-2.14459394620079	-1.93303482838414	-0.527470100243941	135001.5
