"pop.1"	"position"
-1.85164883881252	505000
-1.84058683342114	507500
-2.29502546553818	510000
-1.99531187858394	512500
-1.76121612082725	515000
-1.70663207036015	517500
-1.61074461933367	520000
-1.95601834939702	522500
-2.34222012233586	525000
-2.40525110741402	527500
-2.42196707481202	530000
-2.34176027416384	532500
-2.29598269405509	535000
-2.39658738803619	537500
-2.2476548533138	540000
-2.32232170584871	542500
-2.16293280964573	545000
-2.08509234026694	547500
-2.3349888133738	550000
-2.25547565695047	552500
-2.30344099576257	555000
-2.43468423734422	557500
-2.40145142009591	560000
-2.43769000707603	562500
-2.52553750259969	565000
-2.51182102275168	567500
-2.44304200562165	570000
-2.38895889765562	572500
-2.43149809066581	575000
-2.45470791606742	577500
-2.10625344141065	580000
-2.13324434865779	582500
-2.23964117283772	585000
-2.15773366415144	587500
-2.44769677341728	590000
-2.57319359579344	592500
-2.53589664173849	595000
-2.58124859261498	597500
-2.395022161933	6e+05
-1.69501690051531	602500
-1.71397207191802	605000
-1.71813220680414	607500
-1.69259817599373	610000
-1.94548622531261	612500
-1.84347449810962	615000
-1.74731857820533	617500
-1.97136209734386	620000
-2.17772635991701	622500
-2.09359696890843	625000
-1.91263410240457	627500
-1.95445858795117	630000
-1.91428368907636	632500
-1.67776581058289	635000
-2.0838420148605	637500
-2.07496398762334	640000
-1.90361804645259	642500
-2.2135101865675	645000
-2.06042053929518	647500
-2.10739898469973	650000
-2.20085680587881	652500
-2.17754308634072	655000
-2.15481462559161	657500
-2.29240476883873	660000
-2.3564588246859	662500
-2.43158280262016	665000
-2.49893806875777	667500
-2.50505352984659	670000
-2.53546022691381	672500
-2.46370091312094	675000
-2.55853219476423	677500
-2.55585125290786	680000
-2.54169694588234	682500
-2.55260769465164	685000
-2.47111130505815	687500
-1.63162909490262	690000
-1.69919118451007	692500
-1.87134312003494	695000
-2.02995651249537	697500
-2.30390374175609	7e+05
-2.37866806878603	702500
-2.30479141898986	705000
-2.20651922433535	707500
-2.40421721094862	710000
-2.35175237297666	712500
-2.32394436726961	715000
-2.41249542023651	717500
-2.2584605094512	720000
-2.30905322434271	722500
-2.39658010599582	725000
-2.35019240198385	727500
-2.50197739689798	730000
-2.22772237475723	732500
-2.04640833436589	735000
-2.10600591885806	737500
-2.17836421127351	740000
-2.39881418242198	742500
-2.53376816538017	745000
-2.44040668601116	747500
-2.40240963194229	750000
-2.57439166622717	752500
-2.5574811590084	755000
-2.37478863968883	757500
-2.39437007971239	760000
-2.1737668704634	762500
-2.12708762500729	765000
-2.23106001053109	767500
-2.18283162208294	770000
-2.32169335993907	772500
-2.24061498363362	775000
-2.31771622851358	777500
-2.11063797901273	780000
-1.96386858830274	782500
-2.05660069491997	785000
-1.82039899986654	787500
-1.82714832430733	790000
-1.83542461113656	792500
-1.49636047861314	795000
-1.68880549016869	797500
-1.77674528539487	8e+05
-1.41863372566835	802500
-1.66904452323763	805000
-1.53910899608919	807500
-0.925388455758214	810000
-1.35392285262139	812500
-1.24166318956305	815000
-1.68877601678948	817500
-2.4200217949164	820000
-2.41799982499563	822500
-2.28023585126907	825000
-2.19317656910418	827500
-2.31728406064592	830000
-2.19761540619825	832500
-1.57942196099286	835000
-0.682818162855052	837500
-0.0787501552634995	840000
0.702728605469716	842500
0.994094425996221	845000
1.11353421612866	847500
1.01190428739346	850000
0.448529333398857	852500
-0.350392205177673	855000
-0.904853495554576	857500
-0.826144525454302	860000
-1.22801805777801	862500
-1.6959516215885	865000
NA	867500
NA	870000
NA	872500
NA	875000
NA	877500
NA	880000
NA	882500
NA	885000
NA	887500
NA	890000
NA	892500
NA	895000
NA	897500
NA	9e+05
NA	902500
NA	905000
NA	907500
NA	910000
NA	912500
NA	915000
NA	917500
NA	920000
NA	922500
NA	925000
NA	927500
NA	930000
NA	932500
NA	935000
NA	937500
NA	940000
NA	942500
NA	945000
NA	947500
NA	950000
NA	952500
NA	955000
NA	957500
NA	960000
NA	962500
NA	965000
NA	967500
NA	970000
NA	972500
NA	975000
NA	977500
NA	980000
NA	982500
NA	985000
NA	987500
NA	990000
NA	992500
NA	995000
