"TajD.DRC"	"TajD.Gambia"	"TajD.Kenya"	"TajD.Myanmar"	"position"
-1.44358510069395	-1.49525527284414	-1.51249292822148	1.24597441659029	625500.5
-1.83908118316082	-1.71777960575087	-1.77352546322371	1.24597441659029	625750.5
-1.71389857989829	-1.50806862358329	-1.65679028016839	-0.556947750664832	626000.5
-2.01605575249704	-1.89114405437293	-1.68589710581655	-0.556947750664832	626250.5
-2.0109207059219	-1.89114405437293	-1.63717227740033	-0.841915811777708	626500.5
-1.79202979985053	-1.72407352616464	-1.47322973257542	-1.1449696009872	626750.5
-1.9505694426022	-1.83446448410756	-1.48727341351121	-1.63515437376697	627000.5
-1.6981050997407	-1.54333127122291	-1.40680860764486	-1.63515437376697	627250.5
-1.51420179059744	-1.61159797200344	-1.74814746064177	-1.63515437376697	627500.5
-1.3442214376236	-1.72431526021222	-1.80121442279925	-1.50960256283733	627750.5
-0.995385141134989	-1.50224224850908	-1.24155836620205	NA	628000.5
-0.730907578913278	-1.36070557851123	-1.3810161630279	NA	628250.5
-1.59100770523832	-1.03420017021284	-0.895420217346779	NA	628500.5
-1.32079972519489	-0.714926218447603	-0.381009837952148	NA	628750.5
-1.08228440963448	-0.614705116882348	-0.642097739867581	NA	629000.5
-1.48681303653575	-0.769841939801566	-0.623700839619057	NA	629250.5
-1.32354438569616	-1.0269220352623	-1.03976803447215	-1.02951703501961	629500.5
-1.45279974431598	-1.19859472312048	-1.64089787767278	-1.2614238542996	629750.5
-1.44291626867568	-0.678751245496577	-1.25111279778125	-1.36572993225108	630000.5
-0.701884558877613	0.0213674298732525	-1.00121524131488	-0.734444275017014	630250.5
-0.335903956169857	0.0150741968000197	-0.697763481614822	-0.747283985977627	630500.5
-0.335903956169857	0.240199218615881	-0.489813779555529	-0.516333175631038	630750.5
-0.884026262296761	-0.881039788713276	-1.33049777613929	-0.286221449589129	631000.5
-1.3521450316288	-1.69714032436429	-1.68598654598153	-1.05488349485407	631250.5
-1.3521450316288	-1.66108166226808	-1.6236265993346	NA	631500.5
-1.3521450316288	-1.66108166226808	-1.6236265993346	NA	631750.5
NA	-1.32462532706625	-0.915711426947482	-0.646164858989605	632000.5
NA	-1.32462532706625	NA	-0.646164858989605	632250.5
NA	-1.16505167484029	-1.12805296110498	-0.93914069046413	632500.5
-0.858831934711402	-1.47327930007305	-1.12805296110498	-1.16366990670076	632750.5
-0.858831934711402	-1.48508610752286	-1.12805296110498	-1.11902380928051	633000.5
-1.37681226891261	-1.61159797200344	-1.12805296110498	-0.144776703743526	633250.5
-1.37681226891261	-1.57099637276631	NA	0.257422308780623	633500.5
-1.16210710880203	-1.49641959084328	NA	0.899409814447444	633750.5
-1.16210710880203	-1.3248140373696	NA	0.899409814447444	634000.5
-0.457043719541169	-1.33893585840351	NA	-0.841915811777708	634250.5
-0.878149926057134	-1.39504572193248	-0.915711426947482	-0.841915811777708	634500.5
