"TajD.pop.1"	"TajD.pop.2"	"position"
-2.20724803439435	-1.29242030996716	505000
-2.26078674386633	-1.64404366754777	507500
-2.48934951796072	-2.14724154992888	510000
-2.27003319430704	-2.17617829198097	512500
-2.11915782243288	-1.80317799949093	515000
-2.08287305576449	-1.39933444204428	517500
-1.96886592000123	-1.31258524416598	520000
-2.09392775952379	-1.0510379995878	522500
-2.26882517113986	-1.62478220478052	525000
-2.43051598954673	-1.90302722663742	527500
-2.4564390683928	-2.05407359243162	530000
-2.49893379499446	-2.17780452916024	532500
-2.52654774600059	-2.15648494525054	535000
-2.58000636477188	-2.34361244044353	537500
-2.54904979826282	-2.21214909231916	540000
-2.56896764492287	-2.25827093666934	542500
-2.45490355544143	-2.08932809742774	545000
-2.30371346316433	-2.03787589220727	547500
-2.31642123582118	-2.15247000093547	550000
-2.12351855107478	-1.8126888919175	552500
-2.20468662569612	-1.94863311388483	555000
-2.39844378521941	-1.93899409344822	557500
-2.39227132459956	-2.03318655944577	560000
-2.5686693526835	-2.28111322292155	562500
-2.63216541209872	-2.4310385829125	565000
-2.64393833051891	-2.45556241937303	567500
-2.62513918543189	-2.3390275506582	570000
-2.62220519649163	-2.28565058126206	572500
-2.60468392829769	-2.15396353322627	575000
-2.54477708374142	-1.83317581484735	577500
-2.40957008173161	-1.18547118115731	580000
-2.43272024389436	-1.17835863632114	582500
-2.45914182180774	-1.57517650077525	585000
-2.43530432969298	-1.83506217836567	587500
-2.601945760159	-2.31530998847999	590000
-2.68189515172628	-2.46511011381884	592500
-2.68472371850226	-2.35968325462902	595000
-2.68001643983045	-2.34422831641318	597500
-2.53585592176248	-2.27788419545905	6e+05
-2.38358587333823	-1.70176640942487	602500
-2.40156574859916	-1.62035880131073	605000
-2.36054345147634	-1.71320426053912	607500
-2.36099421091952	-1.63839414973273	610000
-2.2972642173609	-1.83454889030179	612500
-2.06862669534972	-1.8427505816074	615000
-2.04779179948958	-1.56275622161542	617500
-2.23437284674892	-1.61127029343373	620000
-2.37006913045294	-2.05779563282489	622500
-2.27805748212187	-2.12282088658854	625000
-1.92778126402275	-1.86661893038297	627500
-1.76713223952786	-1.78614796977573	630000
-1.74512421205744	-1.54252321453966	632500
-1.63211817683831	-0.709907921676069	635000
-2.14989082230552	-1.51572237886088	637500
-2.20108609363316	-1.61464874006416	640000
-2.08572338726813	-1.488812510294	642500
-2.42727040741984	-2.18578330304802	645000
-2.45655898256782	-2.0403764234405	647500
-2.45807489502173	-1.96794143013264	650000
-2.48369321168242	-2.07689662196015	652500
-2.47426045546571	-1.78808912238733	655000
-2.44943670548818	-1.54520163738588	657500
-2.50148177209392	-2.17466493172318	660000
-2.55473829955261	-2.32080789524489	662500
-2.57996308572795	-2.46482350611861	665000
-2.61406330856343	-2.61193813754511	667500
-2.57548537482674	-2.56364449638189	670000
-2.56427951437133	-2.49365433072975	672500
-2.49834781446883	-2.17991198158674	675000
