"S"	"theta_W"	"theta_pi"	"TajD"	"position"
NA	NA	NA	NA	5001.5
NA	NA	NA	NA	7501.5
NA	NA	NA	NA	10001.5
NA	NA	NA	NA	12501.5
NA	NA	NA	NA	15001.5
NA	NA	NA	NA	17501.5
NA	NA	NA	NA	20001.5
NA	NA	NA	NA	22501.5
NA	NA	NA	NA	25001.5
NA	NA	NA	NA	27501.5
NA	NA	NA	NA	30001.5
NA	NA	NA	NA	32501.5
NA	NA	NA	NA	35001.5
NA	NA	NA	NA	37501.5
NA	NA	NA	NA	40001.5
NA	NA	NA	NA	42501.5
NA	NA	NA	NA	45001.5
NA	NA	NA	NA	47501.5
NA	NA	NA	NA	50001.5
NA	NA	NA	NA	52501.5
NA	NA	NA	NA	55001.5
NA	NA	NA	NA	57501.5
NA	NA	NA	NA	60001.5
NA	NA	NA	NA	62501.5
NA	NA	NA	NA	65001.5
NA	NA	NA	NA	67501.5
NA	NA	NA	NA	70001.5
NA	NA	NA	NA	72501.5
NA	NA	NA	NA	75001.5
NA	NA	NA	NA	77501.5
NA	NA	NA	NA	80001.5
NA	NA	NA	NA	82501.5
NA	NA	NA	NA	85001.5
NA	NA	NA	NA	87501.5
NA	NA	NA	NA	90001.5
NA	NA	NA	NA	92501.5
NA	NA	NA	NA	95001.5
NA	NA	NA	NA	97501.5
NA	NA	NA	NA	100001.5
NA	NA	NA	NA	102501.5
NA	NA	NA	NA	105001.5
19	2.34633911586459	1.85569619509846	-0.462853415330566	107501.5
43	5.31013589379881	2.86638597480233	-1.15902654833241	110001.5
72	8.89139033380266	3.55265291981197	-1.58867391268521	112501.5
88	10.8672548524255	4.75028641727371	-1.51056316017902	115001.5
104	12.8431193710483	3.75313855197057	-1.91858851389078	117501.5
103	12.7196278386344	4.24897838144145	-1.80424820201465	120001.5
86	10.6202717875976	4.5575855801895	-1.52967589893885	122501.5
81	10.002814125528	3.4010376203437	-1.7613517447986	125001.5
74	9.13837339863051	3.09088602912031	-1.75459202781398	127501.5
65	8.02694960690518	1.92489202465156	-1.99492090428775	130001.5
65	8.02694960690518	1.10322355227886	-2.26354564108105	132501.5
74	9.13837339863051	2.76205433560294	-1.84999784392978	135001.5
56	6.91552581517984	2.27285010878278	-1.73849627266961	137501.5
63	7.77996654207733	2.04192056655128	-1.93034254700377	140001.5
66	8.1504411393191	2.11995642816666	-1.94411933108753	142501.5
66	8.1504411393191	0.490257114922178	-2.46950494940762	145001.5
